"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.87778437500E+008, -1.40425395259E-001, +0.00000000000E+000
+2.90278250000E+008, -1.42656515789E-001, +0.00000000000E+000
+2.92778062500E+008, -1.42539150212E-001, +0.00000000000E+000
+2.95277875000E+008, -1.44538237290E-001, +0.00000000000E+000
+2.97777687500E+008, -1.45594540801E-001, +0.00000000000E+000
+3.00277500000E+008, -1.44070164961E-001, +0.00000000000E+000
+3.02777312500E+008, -1.46895411572E-001, +0.00000000000E+000
+3.05277125000E+008, -1.47354473852E-001, +0.00000000000E+000
+3.07776937500E+008, -1.48373546004E-001, +0.00000000000E+000
+3.10276750000E+008, -1.49369486002E-001, +0.00000000000E+000
+3.12776562500E+008, -1.50307994671E-001, +0.00000000000E+000
+3.15276375000E+008, -1.51782335033E-001, +0.00000000000E+000
+3.17776187500E+008, -1.52619227870E-001, +0.00000000000E+000
+3.20276000000E+008, -1.53088140185E-001, +0.00000000000E+000
+3.22775812500E+008, -1.53360562016E-001, +0.00000000000E+000
+3.25275625000E+008, -1.55730767592E-001, +0.00000000000E+000
+3.27775437500E+008, -1.56873854928E-001, +0.00000000000E+000
+3.30275250000E+008, -1.56646182438E-001, +0.00000000000E+000
+3.32775062500E+008, -1.56192971542E-001, +0.00000000000E+000
+3.35274875000E+008, -1.59715225790E-001, +0.00000000000E+000
+3.37774687500E+008, -1.59517364442E-001, +0.00000000000E+000
+3.40274500000E+008, -1.59124816356E-001, +0.00000000000E+000
+3.42774312500E+008, -1.62385534186E-001, +0.00000000000E+000
+3.45274125000E+008, -1.61916646101E-001, +0.00000000000E+000
+3.47773937500E+008, -1.63515172716E-001, +0.00000000000E+000
+3.50273750000E+008, -1.65794405177E-001, +0.00000000000E+000
+3.52773562500E+008, -1.66329671181E-001, +0.00000000000E+000
+3.55273375000E+008, -1.66576225550E-001, +0.00000000000E+000
+3.57773187500E+008, -1.67886122603E-001, +0.00000000000E+000
+3.60273000000E+008, -1.68995307483E-001, +0.00000000000E+000
+3.62772812500E+008, -1.68864127250E-001, +0.00000000000E+000
+3.65272625000E+008, -1.69329165918E-001, +0.00000000000E+000
+3.67772437500E+008, -1.68853772012E-001, +0.00000000000E+000
+3.70272250000E+008, -1.71318574272E-001, +0.00000000000E+000
+3.72772062500E+008, -1.71987976078E-001, +0.00000000000E+000
+3.75271875000E+008, -1.73841874540E-001, +0.00000000000E+000
+3.77771687500E+008, -1.73884649899E-001, +0.00000000000E+000
+3.80271500000E+008, -1.74218015798E-001, +0.00000000000E+000
+3.82771312500E+008, -1.78115869427E-001, +0.00000000000E+000
+3.85271125000E+008, -1.78536177366E-001, +0.00000000000E+000
+3.87770937500E+008, -1.78327789310E-001, +0.00000000000E+000
+3.90270750000E+008, -1.80717457412E-001, +0.00000000000E+000
+3.92770562500E+008, -1.81964144010E-001, +0.00000000000E+000
+3.95270375000E+008, -1.82209524418E-001, +0.00000000000E+000
+3.97770187500E+008, -1.84751481541E-001, +0.00000000000E+000
+4.00270000000E+008, -1.86367325020E-001, +0.00000000000E+000
+4.02769812500E+008, -1.86073198127E-001, +0.00000000000E+000
+4.05269625000E+008, -1.87868627365E-001, +0.00000000000E+000
+4.07769437500E+008, -1.88753408806E-001, +0.00000000000E+000
+4.10269250000E+008, -1.90119831597E-001, +0.00000000000E+000
+4.12769062500E+008, -1.92237672065E-001, +0.00000000000E+000
+4.15268875000E+008, -1.92050693542E-001, +0.00000000000E+000
